iter	Passed	Remaining
0	13	9806
1	28	9939
2	41	9748
3	55	9696
4	69	9837
5	83	9830
6	97	9747
7	111	9769
8	125	9751
9	139	9732
10	153	9734
11	166	9688
12	179	9631
13	192	9571
14	205	9517
15	216	9397
16	229	9340
17	242	9300
18	255	9293
19	268	9235
20	280	9190
21	293	9160
22	306	9132
23	319	9105
24	331	9075
25	332	8733
26	345	8731
27	357	8694
28	370	8684
29	382	8648
30	382	8374
31	395	8367
32	407	8354
33	420	8340
34	431	8318
35	432	8082
36	444	8065
37	456	8053
38	468	8047
39	468	7840
40	480	7833
41	494	7856
42	505	7831
43	518	7841
44	529	7816
45	542	7811
46	554	7815
47	566	7807
48	567	7645
49	579	7635
50	579	7480
51	590	7466
52	591	7318
53	603	7316
54	603	7177
55	614	7167
56	615	7035
57	615	6910
58	629	6930
59	641	6939
60	654	6956
61	655	6837
62	655	6725
63	657	6622
64	669	6633
65	680	6632
66	692	6631
67	692	6527
68	692	6426
69	693	6328
70	704	6331
71	716	6341
72	730	6360
73	740	6356
74	753	6366
75	764	6364
76	764	6275
77	776	6282
78	789	6294
79	800	6294
80	811	6294
81	824	6300
82	837	6317
83	849	6318
84	860	6315
85	872	6317
86	882	6308
87	894	6312
88	908	6325
89	921	6338
90	933	6341
91	944	6332
92	955	6325
93	966	6321
94	976	6312
95	989	6316
96	999	6308
97	1011	6307
98	1024	6310
99	1037	6321
100	1049	6320
101	1061	6316
102	1072	6311
103	1083	6305
104	1095	6304
105	1107	6301
106	1118	6292
107	1131	6296
108	1144	6299
109	1157	6301
110	1170	6305
111	1183	6309
112	1195	6307
113	1209	6311
114	1220	6305
115	1230	6291
116	1244	6294
117	1255	6286
118	1267	6284
119	1279	6282
120	1291	6275
121	1301	6260
122	1313	6255
123	1324	6246
124	1334	6236
125	1345	6227
126	1356	6217
127	1369	6217
128	1381	6211
129	1394	6209
130	1406	6205
131	1418	6200
132	1428	6188
133	1442	6187
134	1453	6178
135	1465	6174
136	1476	6165
137	1487	6155
138	1498	6146
139	1512	6147
140	1524	6140
141	1535	6132
142	1548	6128
143	1558	6116
144	1572	6115
145	1583	6104
146	1595	6098
147	1608	6095
148	1619	6086
149	1630	6076
150	1643	6072
151	1655	6066
152	1666	6054
153	1678	6049
154	1691	6045
155	1701	6031
156	1713	6024
157	1724	6014
158	1735	6004
159	1747	5996
160	1760	5990
161	1773	5989
162	1785	5981
163	1798	5976
164	1811	5971
165	1821	5959
166	1835	5955
167	1848	5953
168	1859	5941
169	1872	5937
170	1885	5930
171	1897	5923
172	1910	5920
173	1924	5916
174	1937	5913
175	1949	5903
176	1962	5899
177	1975	5893
178	1988	5886
179	1998	5873
180	2011	5866
181	2021	5854
182	2035	5850
183	2048	5844
184	2060	5835
185	2073	5829
186	2086	5823
187	2098	5814
188	2109	5804
189	2121	5794
190	2132	5783
191	2144	5774
192	2156	5765
193	2168	5757
194	2181	5750
195	2194	5742
196	2207	5737
197	2218	5726
198	2232	5721
199	2245	5714
200	2256	5703
201	2268	5693
202	2280	5685
203	2291	5671
204	2304	5666
205	2318	5661
206	2329	5649
207	2342	5642
208	2355	5634
209	2366	5622
210	2378	5612
211	2390	5604
212	2401	5591
213	2413	5582
214	2424	5570
215	2437	5562
216	2448	5550
217	2459	5540
218	2472	5531
219	2485	5523
220	2496	5513
221	2506	5499
222	2517	5486
223	2528	5475
224	2540	5465
225	2555	5462
226	2567	5451
227	2579	5441
228	2592	5433
229	2604	5423
230	2615	5411
231	2625	5398
232	2638	5390
233	2649	5377
234	2661	5367
235	2673	5358
236	2684	5346
237	2697	5339
238	2711	5332
239	2723	5322
240	2735	5312
241	2747	5302
242	2758	5290
243	2770	5279
244	2780	5266
245	2791	5253
246	2802	5241
247	2814	5231
248	2827	5222
249	2839	5212
250	2850	5200
251	2860	5187
252	2871	5175
253	2885	5168
254	2896	5156
255	2907	5144
256	2921	5138
257	2932	5125
258	2944	5115
259	2957	5107
260	2970	5099
261	2982	5089
262	2996	5080
263	3007	5069
264	3021	5062
265	3033	5052
266	3045	5041
267	3058	5032
268	3072	5024
269	3083	5013
270	3093	4999
271	3105	4989
272	3116	4977
273	3127	4964
274	3139	4954
275	3152	4945
276	3164	4935
277	3176	4924
278	3187	4911
279	3198	4900
280	3210	4890
281	3223	4881
282	3234	4868
283	3247	4860
284	3261	4851
285	3273	4841
286	3285	4830
287	3296	4819
288	3308	4808
289	3321	4798
290	3332	4787
291	3344	4776
292	3355	4764
293	3368	4754
294	3379	4742
295	3391	4731
296	3402	4719
297	3413	4708
298	3424	4696
299	3436	4685
300	3449	4676
301	3461	4664
302	3472	4653
303	3483	4640
304	3496	4631
305	3508	4620
306	3520	4609
307	3532	4599
308	3544	4588
309	3558	4579
310	3568	4566
311	3578	4553
312	3591	4544
313	3603	4532
314	3613	4520
315	3627	4511
316	3639	4501
317	3653	4492
318	3667	4483
319	3679	4473
320	3691	4462
321	3702	4450
322	3713	4438
323	3726	4428
324	3740	4419
325	3752	4409
326	3763	4396
327	3774	4384
328	3788	4375
329	3802	4367
330	3812	4354
331	3823	4342
332	3837	4333
333	3849	4321
334	3860	4310
335	3873	4299
336	3885	4288
337	3896	4277
338	3907	4264
339	3919	4254
340	3930	4241
341	3943	4231
342	3953	4218
343	3964	4206
344	3974	4193
345	3988	4184
346	4001	4173
347	4011	4161
348	4022	4149
349	4035	4138
350	4047	4127
351	4059	4116
352	4072	4106
353	4085	4096
354	4096	4084
355	4109	4074
356	4119	4062
357	4131	4051
358	4144	4040
359	4156	4029
360	4168	4018
361	4179	4006
362	4192	3996
363	4203	3983
364	4214	3972
365	4226	3960
366	4237	3948
367	4249	3937
368	4262	3927
369	4274	3916
370	4285	3904
371	4297	3893
372	4309	3882
373	4322	3871
374	4334	3860
375	4345	3848
376	4357	3837
377	4370	3826
378	4382	3815
379	4393	3803
380	4404	3791
381	4414	3778
382	4427	3768
383	4439	3757
384	4452	3746
385	4465	3736
386	4478	3726
387	4489	3714
388	4499	3701
389	4510	3689
390	4522	3677
391	4533	3666
392	4547	3656
393	4558	3644
394	4572	3634
395	4584	3623
396	4594	3610
397	4605	3599
398	4618	3588
399	4631	3577
400	4642	3565
401	4654	3554
402	4665	3542
403	4676	3530
404	4689	3519
405	4700	3508
406	4713	3497
407	4725	3485
408	4737	3474
409	4749	3463
410	4761	3452
411	4772	3440
412	4785	3429
413	4796	3417
414	4806	3405
415	4819	3394
416	4829	3382
417	4843	3371
418	4854	3360
419	4866	3348
420	4877	3336
421	4890	3326
422	4903	3315
423	4914	3303
424	4925	3291
425	4937	3279
426	4948	3268
427	4961	3257
428	4974	3246
429	4986	3235
430	4998	3224
431	5009	3212
432	5021	3200
433	5034	3189
434	5045	3178
435	5057	3166
436	5068	3154
437	5080	3143
438	5093	3132
439	5106	3121
440	5119	3111
441	5129	3098
442	5142	3088
443	5154	3076
444	5167	3065
445	5180	3054
446	5194	3044
447	5205	3032
448	5217	3021
449	5227	3008
450	5239	2997
451	5251	2985
452	5262	2974
453	5276	2963
454	5288	2952
455	5300	2940
456	5311	2929
457	5323	2917
458	5335	2905
459	5346	2894
460	5356	2881
461	5370	2870
462	5380	2858
463	5391	2846
464	5402	2835
465	5414	2823
466	5425	2811
467	5438	2800
468	5449	2788
469	5460	2776
470	5473	2765
471	5485	2754
472	5496	2742
473	5507	2730
474	5520	2719
475	5532	2707
476	5543	2696
